kill,7.065110132077846
father,6.995245098453077
family,5.89046697920559
police,5.821405305102325
men,5.743890352377364
son,5.424731852594889
wife,5.116760716871121
child,5.095636441745548
car,5.047992300280598
old,4.841161962017219
young,4.821651369942018
home,4.80126916232812
friend,4.781582433118382
mother,4.7349233251678475
room,4.722242930735649
woman,4.640782777843366
love,4.551515675320766
war,4.542701040942871
boy,4.537235667784534
money,4.440168879895698
run,4.330830304333872
live,4.11763572029656
train,4.112319644990806
german,4.069549293903127
night,4.055394748895827
fight,3.967572498587905
film,3.9142238052634677
house,3.8986033735461776
brother,3.8818211761515893
story,3.868751904902573
girl,3.866242374066683
world,3.797329959413356
murder,3.7740914402292
show,3.7700918204459373
gang,3.7491965521515063
people,3.74592814448046
town,3.7009536634516595
escape,3.6794766269502364
later,3.6251561202877083
apartment,3.6067837141739965
city,3.573686347944924
school,3.525106757416353
start,3.475779115550872
officer,3.4747476777858948
death,3.4564304771925536
fall,3.4289781146422063
hotel,3.4250553611533276
force,3.4082132941873646
plan,3.39098738499245
shoot,3.3815998075594513
head,3.3617840209860304
order,3.3542899154896113
watch,3.324711040318864
hand,3.2380119704520753
drive,3.2317383233895556
follow,3.231507215905808
parent,3.2123760572413955
daughter,3.205443979604964
play,3.1967405852046045
fire,3.195939361964514
stop,3.1742648426233866
walk,3.1667540708910016
anoth,3.1663423372449206
talk,3.1589054470877342
door,3.1349174580350248
ring,3.115790116319766
face,3.1145279034828324
gun,3.0779249880359814
dead,3.0602745581595476
die,3.0594671365455866
attack,3.056728888124567
soldier,3.0532739064232537
open,3.0459101112586713
job,3.04497201303892
army,3.043134191156687
believe,3.018538845525656
dog,3.004081646460438
attempt,2.977221738046468
use,2.9475886556882336
learn,2.8998724945799004
never,2.8786519330431064
truck,2.8372375680222524
thing,2.8019024364521132
move,2.788280152030227
body,2.7512994839156213
break,2.738823563181995
refuse,2.713067273227328
send,2.707364592993712
become,2.692792677101287
street,2.6893073157315746
together,2.682648337587826
park,2.6761607128439855
steal,2.672637896504092
prison,2.6659521349320037
appear,2.659707197629623
white,2.6392143735979574
husband,2.6366093001030024
power,2.589075529846107
long,2.5838671293561792
british,2.5826968983609797
